,song,artist,danceability,energy,speechiness,instrumentalness,tempo,valence,hit
156,Arcade,Duncan Laurence,0.45,0.329,0.0441,0.00109,71.884,0.266,1
157,Scoop,Lil Nas X Featuring Doja Cat,0.78,0.544,0.114,0.876,163.969,0.103,1
158,Dolla Sign Slime,Lil Nas X Featuring Megan Thee Stallion,0.923,0.533,0.262,0.0,133.991,0.587,1
159,Lonely,DaBaby X Lil Wayne,0.718,0.628,0.373,0.0,139.769,0.771,0
160,Dead Right Now,Lil Nas X,0.685,0.717,0.0411,1.87e-05,127.963,0.549,0
161,Tales Of Dominica,Lil Nas X,0.742,0.734,0.0407,0.00314,114.952,0.541,0
162,One Of Me,Lil Nas X Featuring Elton John,0.708,0.598,0.0617,0.0,144.09,0.561,0
163,Race My Mind,Drake,0.488,0.635,0.26,8.16e-06,174.072,0.783,1
164,Lost In The Citadel,Lil Nas X,0.768,0.764,0.0295,1.03e-05,92.965,0.472,0
165,Sun Goes Down,Lil Nas X,0.551,0.636,0.054,4.28e-06,174.065,0.148,0
166,7am On Bridle Path,Drake,0.724,0.531,0.298,0.0,89.901,0.141,1
167,Off The Grid,Kanye West,0.546,0.64,0.37,0.0,137.728,0.63,1
168,In Da Getto,J Balvin & Skrillex,0.924,0.723,0.0466,2.61e-05,126.998,0.643,0
169,Skate,Silk Sonic (Bruno Mars & Anderson .Paak),0.708,0.598,0.0291,0.0,112.027,0.698,1
170,Am I Dreaming,Lil Nas X Featuring Miley Cyrus,0.629,0.445,0.0258,2.92e-06,94.103,0.209,0
171,Don't Go Yet,Camila Cabello,0.666,0.796,0.103,0.0,110.108,0.61,1
172,Country Again,Thomas Rhett,0.467,0.481,0.0255,0.000189,147.886,0.248,1
173,Range Brothers,Baby Keem & Kendrick Lamar,0.502,0.446,0.0415,0.0932,120.689,0.644,0
174,Every Chance I Get,DJ Khaled Featuring Lil Baby & Lil Durk,0.477,0.727,0.286,0.0,150.062,0.227,1
175,IMY2,Drake Featuring Kid Cudi,0.59,0.493,0.0367,0.00504,150.026,0.0498,1
176,Yebba's Heartbreak,Drake & Yebba,0.476,0.161,0.0407,0.0381,119.614,0.0908,1
177,Get Along Better,Drake Featuring Ty Dolla $ign,0.32,0.466,0.0374,0.0,177.693,0.338,1
